title,totalScore,reviewsCount,street,city,countryCode,website,phone,categoryName
Araliya cafe,4.4,7,"46/42, 02",Colombo,LK,,,Restaurant
Cafe Colombo,4.258885017421602,0,66 Galle Rd,Colombo,LK,,,Bakery
Bavan cafe,4.258885017421602,0,11 Vauxhall Ln,Colombo,LK,,+94 77 663 4443,Vegetarian restaurant
Cafe Seventy Seven,3.4,39,WVC3+4HC,Colombo,LK,,+94 115 765 765,Restaurant
Sri Lanka Telecom Cafeteria,4.5,4,WVC3+JCP,Colombo,LK,,,Restaurant
Cannys Bakers and Restaurant,4.258885017421602,0,185 Union Pl,Colombo,LK,,+94 112 693 722,Cafe
Green Cabin | Chatham Street,4.1,358,NO 88 Chatham St,Colombo,LK,http://www.greencabin.lk/,+94 77 378 6147,Cafe
The Kafé,4.2,16,123 Kumaran Ratnam Rd,Colombo,LK,https://www.hotelnippon.lk/the-kafe/,+94 112 332 603,Cafe
Upali's Canteen,2.0,1,"WRQW+783, Bandaranayake Quay",Colombo,LK,,+94 77 713 0019,Coffee shop
t-lounge by Dilmah – Chatham Street ️,4.4,980,Chatham St,Colombo,LK,http://dilmaht-lounge.com/,+94 112 447 168,Cafe
Hotel De Excellent,3.6,14,WVH7+5RG,Colombo,LK,,,Cafe
Cafe On The Range,5.0,9,181/5 Hikkaduwe Sri Sumangala Himi Mawatha,Colombo,LK,https://www.instagram.com/cafe_on_the_range,+94 77 774 4877,Cafe
CAFE 142,4.258885017421602,0,142 Sri Vajiragnana Mawatha,Colombo,LK,,+94 72 817 9234,Fast food restaurant
Squeezey cafe and juice bar,5.0,3,487 Dematagoda Rd,Colombo,LK,,,Cafe
Rizvi Snacks,3.6,12,"WVG8+V42, Ven Baddegama Wimalawansa Mawatha",Colombo,LK,,+94 77 656 4440,Cafe
Kusum Cafe,5.0,1,WVGC+MW4,Colombo,LK,,,Pastry shop
City Cakes & Desserts,4.258885017421602,0,463 2nd Division Maradana,Colombo,LK,,+94 77 213 3811,Cafe
Tayo bear,4.8,107,"No 71, 2 R.G. Senanayake Mawatha",Colombo,LK,http://www.tayobear.com/,+94 77 199 2907,Dog cafe
The kava coffee,5.0,18,Hedges Ct,Colombo,LK,,+94 76 384 6871,Coffee shop
The Coffee Manor,4.6,280,83 R.G. Senanayake Mawatha,Colombo,LK,,+94 112 082 190,Coffee shop
Phoenix Hub Gaming Cafe,4.7,200,44 Dr Danister De Silva Mawatha,Colombo,LK,https://www.facebook.com/pnxhub/,+94 114 244 446,Video game store
Shivan cafe,5.0,2,WVPJ+678,Colombo,LK,,+94 112 686 197,Cafe
Hot Bun Cafe,4.1,13,WVVC+V45,Colombo,LK,,+94 71 252 6650,Cafe
MTown Gaming & Shisha Lounge,4.4,10,67 1/1 Maligawatta Pl,Colombo,LK,https://www.facebook.com/mtownlounge,+94 72 656 5777,Lounge
The Cafe Lounge,5.0,1,WVPC+873,Colombo,LK,,+94 75 706 8505,Game store
Panchikawatta,4.258885017421602,0,WVM8+78M,Colombo,LK,,,Coffee shop
Cravings Café & Restaurant,5.0,4,"47, 12 Abdul Hameed St",Colombo,LK,,+94 75 559 4801,Restaurant
Cafe Anderson,5.0,1,"Anderson Flats D Block, Park Rd",Colombo,LK,,+94 76 876 1211,Takeout Restaurant
Taste Tots,5.0,7,"WVJC+FMG, Keera Kotuwa Road",Colombo,LK,https://www.facebook.com/tastetot/,+94 77 291 6634,Cafe
Najla Soup Cafe,3.7,7,"WVQ7+65P, Abdul Hameed St",Colombo,LK,,+94 71 554 4757,Soup shop
Cafe nine,3.5,2,"VVVM+R3H, Kirimandala Mawatha",Colombo,LK,,+94 112 449 919,Bakery
Best Lankan Food & Beverages (Pvt) Ltd,5.0,1,"XVFH+JF5, Mattakkuliya Farm Rd",Colombo,LK,,+94 77 772 2030,Cafe
Zion Fountain Cafe,4.4,58,4 Vijaya Kumarathunga Mawatha,Colombo,LK,,+94 77 751 0850,Cafe
Nescafe Machine Rent (Mr.kordon's),4.258885017421602,0,"23, 51 Vystwyke Rd",Colombo,LK,,+94 77 798 0561,Coffee shop
Cafe Korea,3.7,15,Kirimandala Mawatha,Colombo,LK,,+94 77 563 0117,Korean restaurant
Ameen’s Love,4.258885017421602,0,XVCG+XJ5,Colombo,LK,,,Cafe
Any item sale,2.0,1,"Randiya Uyana, Henamulla Ln",Colombo,LK,,+94 75 640 5776,Cafe
Bar wade kade,5.0,1,"XVCG+Q7X, St Mary's Rd",Colombo,LK,,,Cafe
Sunshine Bakary,4.1,28,39 St Mary's Ln,Colombo,LK,,+94 77 600 8883,Cafe
New Indusiri Cafe,4.4,9,Baseline Rd,Colombo,LK,,+94 112 667 792,Vegetarian restaurant
Caffe Vita,2.7,13,VVV4+P27,Colombo,LK,,+94 77 743 3870,Cafe
The Family Cafe,4.258885017421602,0,"77, 20 Gnanawimala Rd",Colombo,LK,,+94 77 551 0414,Restaurant
Refresh,3.0,2,328 Jumma Masjid Rd,Colombo,LK,,,Coffee shop
The Vibe,3.6,7,"VVR9+7V8 Hotel Janaki, Fife Rd",Colombo,LK,http://hoteljanakicolombo.com/the-vibe/,,Cafe
Holybelly cafe,4.4,94,318 Torrington Ave,Colombo,LK,https://m.facebook.com/Holybelly-656716584719603/,+94 77 712 2234,Cafe
The Blue Swan Lounge and Workspaces,5.0,3,12 Greenlands Ave,Colombo,LK,,+94 77 311 6579,Cafe
Cafe Hideout,5.0,4,24 Fife Rd,Colombo,LK,,,Coffee store
Blue Spoon,4.7,58,90A Jawatta Rd,Colombo,LK,http://instagram.com/bluespoonlk,+94 77 316 4000,Cafe
Cafe Noir Blanc,4.3,1291,"No. 216, Rev, Thimbirigasyaya Rd",Colombo,LK,http://cafenoir.lk/,+94 112 555 188,Restaurant
Bars Cafe,4.0,27,158 Thimbirigasyaya Rd,Colombo,LK,,+94 114 369 393,Restaurant
Tasty Caterers,4.2,1019,88 Fife Rd,Colombo,LK,http://tastycaterers.lk/,+94 117 644 744,Cafe
COOL KADE,5.0,3,423 Jumma Masjid Rd,Colombo,LK,,+94 72 051 5243,Cafe
Krishna Vegetarian Cafe,3.9,19,5 St. Joseph's St,Colombo,LK,,,Restaurant
Cafe zone,5.0,4,"A3/F24, GEORGE R.D SILVA MW",Colombo,LK,,,Sri Lankan restaurant
Manra Cafe,5.0,2,736 Dr Danister De Silva Mawatha,Urugodawatta,LK,https://instagram.com/manra_cafe?igshid=OGQ5ZDc2ODk2ZA==,+94 71 460 1191,Restaurant
Amabal Cafe,4.1,7,"WVV8+G8W, Jethawana Rd",Colombo,LK,,,Restaurant
Ape Kopi Grandpass,4.6,5,70 Stace Rd,Colombo,LK,,+94 77 914 6786,Coffee shop
R.N.R. Cool Corner,4.258885017421602,0,"WVR8+C27, Sri Sumanatissa Mawatha",Colombo,LK,,,Cafe
A.M.N.Rahumani,4.258885017421602,0,68 Gemunu Patu Mawatha,Colombo,LK,,,Coffee shop
Bob's Cafe,4.258885017421602,0,446 Old Moor St,Colombo,LK,,,Restaurant
Delish Cafe & Restaurant,3.8,147,,Colombo,LK,,+94 112 441 334,Restaurant
Kotahena Cream House,4.258885017421602,0,71 Bonjeen Rd,Colombo,LK,,+94 112 472 907,Cafe
Black Shedow,4.258885017421602,0,15 Jampettah St,Colombo,LK,,,Cafe
Barista at Hatch Works,4.258885017421602,0,14 Sir Baron Jayathilake Mawatha,Colombo,LK,,,Coffee shop
The Street Cafe n Kitchen Pvt Ltd,5.0,1,"Lake House Building, regent Building 20 1/3 Sir chittampalam gardiner A Mawatha, 2 opposit to",Colombo,LK,,+94 112 300 109,Restaurant
The Barge Cafe and Restaurant,4.4,24,Block D,Colombo,LK,,+94 77 003 9090,Cafe
PSD Welfare shop and House of Juice,4.8,5,54 Chatham St,Colombo,LK,,+94 72 760 3377,Cafe
Brew 1867 by Dilmah – World Trade Center,4.6,39,Level 03 West Block World Trade Center,Colombo,LK,https://www.brew1867.com/,+94 117 021 406,Fast food restaurant
Street cafe and kitchen,5.0,1,Regent Flats,Colombo,LK,,+94 112 300 109,Asian restaurant
Cafe64 by Galadari Hotel,3.0,2,64 Lotus Rd,Colombo,LK,http://www.galadarihotel.lk/dining/cafe-64-pastry-shop?fbclid=IwAR0RE5z8t5l6R9Jg8Id-HfpV0kVqg8ANXLsIEyuG9rBLvDyvD8jkZNeLbjE,+94 112 544 544,Cafe
The Nosh,4.2,23,"World Trade Center East Tower, WTC East Tower, 12/1 Bank of Ceylon Mawatha",Colombo,LK,,+94 76 170 0700,Coffee shop
Fort Cafe,4.0,1,39 Sir Razik Fareed Mawatha,Colombo,LK,,+94 76 199 3103,Restaurant
Barista World Trade Center,4.3,397,"Level 3 World Trade Center, Bank of Ceylon Mawatha",Colombo,LK,http://www.barista.lk/,+94 112 332 163,Cafe
Nil's Kitchen,4.258885017421602,0,"18/28 1st Lane, Evergreen Park Rd",Colombo,LK,,+94 77 771 1828,Cafe
Side Walk Cafe,4.4,8,No 33 Canal Row,Colombo,LK,,,Restaurant
New Murugan Cafe,4.258885017421602,0,30 Sri Kathiresan St,Colombo,LK,,+94 77 470 0669,Indian restaurant
RASANANDA BAKERS (දර පොරනු cafe),4.5,2,130 2nd Ln,Sri Jayawardenepura Kotte,LK,,+94 77 645 4354,Bakery
Menytype,4.258885017421602,0,"G-1-3-B, Mihindu Mawatha Shopping Complex",Colombo,LK,,+94 112 441 684,Cafe
S K M Cafe,4.5,4,103 New Moor St,Colombo,LK,,,Restaurant
New Saraswati Cafe,4.1,840,230 Sea St,Colombo,LK,,+94 112 435 789,Vegetarian restaurant
Mobitel Cafeteria,3.3,11,Lesley Ranagala Mawatha,Colombo,LK,,+94 71 285 7555,Cafe
Fabela Restaurant & Cafe,4.258885017421602,0,231D Wijayakumarathunga Road,Colombo,LK,,+94 76 877 4258,Restaurant
